"id","text"
"user_112","and if you gave Your life to love them, so will I☀️  •ER nurse 💉•"
"user_113","staying informed while trying to keep my sanity. #vote"
"user_114","a professional in real life, not as much here, but I care a lot about democracy and knocking down disinfo all the time"
"user_115","🌹"
"user_116","he-they / machine-speaker / radically progressive / intersectional feminist / studying {cs + health} @ usf / opinions very much my own"
"user_117","@shizoh"
"user_118","Honesty, Integrity, and willingness to listen to others."
"user_119","🦩"
"user_120","LuxuryBraidedWigHaven"
"user_121","Texas Dem"
"user_122","Random musings of a middle aged woman. I read - A Lot."
"user_123","27♉️"
"user_124","Hello - I'm a mailman & pilot - the 'gyrocopter dude' who landed in front of the Capitol Bldg."
"user_125","و ما سعى لله ساعٍ إلا بلَغ ✨Alumna @iupedu"
"user_126","my name is braima living in London"
"user_127","Writer, Library Media Specialist, Tea Lover, Clown Hater, Ravenclaw"
"user_128","LOL"
"user_129","Tax & Accounting IT specialist. 
“When you hear hoofbeats in the night, look for horses — not zebras.”"
"user_130","VP of Advancement, Distinguished Fellow @afpihq, @GoalBusters, @MuskingumUniv & @IUPhilanthropy alum. Tweets are my own and don't represent Brentwood Boro SD."
"user_131","#TFB #TEAMFOLLOWBACK #ALWAYSFOLLOW #JUSTINBIEBER #VINE #TWITTER #FOLLOWBACK #FOLLOW #F4F #FOLLOW4FOLLOW #RETWEET #RT2GAIN #MONTANA"
"user_132","(taylor's version) ♥️"
"user_133","Awsome"
"user_134","What might lost have been lost , it don’t bother me . By way of MN, WI and DC 🇺🇸 🇦🇺🇩🇪 .Fetish specialist, Findomme & Animal play Domcom advisory board"
"user_135","Affable||Eloquent||Smart||Intelligent||Easy-Going||Bold||Firm||Courteous||Goal Getter||GOD fearing"
"user_136","mechanical specialization"
"user_137","Chartered Accountant"
"user_138","human"
"user_139","bhullar"
"user_140","Adventurous"
"user_141","Je dis ce que je veux. Esprit libre et vagabond, qui n'arrive pas à se ranger sous une bannière, quelle qu'elle soit
Pond rarement là https://t.co/NibqViDicQ"
"user_142","Gujrat police"
"user_143","Presidente onorario della conferenza dei ninnoli e pisquano senior.
'Contro i mona anche gli dei lottano invano' ."
"user_144","#Shahrulovesaisyah"
"user_145","ONYE IGBO 
Forex trader 
Tailor Pappi 🧵
Libra ♎"
"user_146","Social / Digital Media Activist #TeamIK Proud Pakistani 🇵🇰 , Volunteer,Worker"
"user_147","KIDS OF 254 Orphanage Awareness 🇰🇪🇺🇸🇰🇪🇺🇸🇰🇪 An American in Kenya."
"user_148","01/21:2021🧸💛"
"user_149","नये भारत का नया नारा,जय जवान,जय किसान,जय विज्ञान, जय अनुसंधान  😍 I LOVE MY INDIA 
🐥देश से बड़ा कुछ नहीं...!"
"user_150","Spontaneous"
"user_151","Dios"
"user_152","Analyst"
"user_153","عبوديي aboody"
"user_154","Si tu as des difficultés à avoir de l'argent pour tes dépenses,rejoins notre communauté avec seulement 200$.
WhatsApp 👉+1(906)-248-5148.
Je suis sympa."
"user_155","△⃒⃘ 
everything will be alright if you keep me next to you"
"user_156","be silly, be honest, be kind"
"user_157","ingeniero industrial en retiro"
"user_158","Video producer and race fan."
"user_159","News Media Student @UofAlabama #RollTide #MFFL #USMNT🇺🇸"
"user_160","Happily married with 2 wonderful children... 1 girl 1 boy... proud Detroit Lions fan..."
"user_161","Am neither a bad guy nor a good guy but am just a guy"
"user_162","Soy un fracasado."
"user_163","Cute, shy, heartless"
"user_164","im a decent woman that have respect for who is right for it and what a better relationship that we make me have a rest of mind with great future with each other"
"user_165","I want to represent an idea that anything is possible | Host @zero_hourpod @talentfactorys | Sport, Data, Cybersecurity, Tech, Leadership, Environment"
"user_166","ATATÜRK - FENERBAHÇE"
"user_167","سبحان الله وبحمده سبحان الله العظيم"
"user_168","✨Love life to the fullest ✨"
"user_169","Noticias desde Misiones, Argentina"
"user_170","Wife, Mother, Daughter, Sister, Friend, & Pediatrician!  Love these titles in my life—each of them are dear to my heart.  Please note all Tweets are my own."
"user_171","Governor"
"user_172","📍 New York
French fries lover❣️
Fashion Addict😍💟
 👇⬇️Find me at the link below⬇️👇"
"user_173","The REAL Heather Ortega❤️ (formerly Baker)I was HACKED, sorry for duplicate accounts. Living happy with my wonderful husband!"
"user_174","BHS 22’🐻 San Antonio Tx #Sometime when I close my eyes I can’t see @Die with memories, not dreams."
"user_175","Age 31, She/Her University Student, Aspiring digital artist, Transformers fan, MHA Fan, professional story writing bullshitter, depressed being of sunshine."
"user_176","Grfu7"
"user_177","Freelancer, founder of New York Evergreen Medical Beauty https://t.co/yziSolzvl8"
"user_178","🐶😼🐯🐢 ⚓️• 🏊🏼‍♂️🚴🏻‍♂️🏃🏻‍♂️ •🥑"
"user_179","Techno Never Dies! (RIP Techno)
Im just like gay tho
also im failing in life :)
COPPER GOLEM SUPREMACY
VOTE COPPER GOLEM OR YOURE UNINTELLIGENT"
"user_180","….."
"user_181","Snap : mo0dy25 - لم نُخلق للبقاء ~ فأصنع لروحك اثراً طيبا يبقى من بعدك ..!♥️ اللهم صلِّ على سيدنا محمد ..🌹"
"user_182","photojournalist, travel, philanthropic photography, picture editor and content manager - Instagram: josemorefoto"
"user_183","It's all about life"
"user_184","I am in fact, alive."
"user_185","Radhey Shyam Sharma"
"user_186","Be good to people"
"user_187","Small acts of resistance 
when done by many people 
are the seeds of solidarity. Deja Foxx 
#MMIW🆘
#DemCast 🌈Ally.  
#HandMarkedPaperBallots"
"user_188","Nomi"
"user_189","Accountmanager Citymarketing gemeente Tilburg/gedreven/houdt van het goede leven/gek op E/moeder van 2/baasje van Toller Sam/enthousiaste timbaspeler"
"user_190","Self employed at icipip com"
"user_191","Muslim, Med student, Dissident, Desperate."
"user_192","tururu"
"user_193","Mother💙..Boss💼..Engaged💍 📍FrmMstoATL📍 IG:Beautifulconcreterose_92 Business:Prettyreneespieces"
"user_194","huh"
"user_195","Esposa, mãe, conservadora..."
"user_196","My Personality is dope😅🤗"
"user_197","Technologist, Building materials dealer, footballer. #LOVER_OF_CHRIST. 
DM 4 ur window blinds, stainless pipes nd accessories. Wrought iron 4 ur gate DsgNs"
"user_198","5k - 15:29
10k - 32:48
Marathon - 02:34:52

Fully qualified UK athletics running coach. Català."
"user_199","remain humble but still let these bitches know. | ☉♍︎ ☽♏︎ ↑♏︎"
"user_200","Nothing"
"user_201","Mofygodwin"
"user_202","Entrepreneur"
"user_203","this is my “finsta” . Lilly Pulitzer Liberal https://t.co/9xThdnZUTb"
"user_204","♑ #votebluetosaveamerica"
"user_205","🙊🙉🙈"
"user_206","Put ur faith on Jesus and u will see his glory"
"user_207","Byers Entertainment has done many events call 954-809-9846 and ask for Chad Byers for booking your next party or event. Have state of art sound system by QSC"
"user_208","Minha vida"
"user_209","NWSCC || sc: abbypeters25 || JER💕"
"user_210","college student but very sad about it (they/them) I’m pretty and pretty communist #blacktranslivesmatter"
"user_211","Sports"
"user_212","Miami (OH) Alumni. Love & Honor | #RollTide"
"user_213","Ma ténacité"
"user_214","up alum ‘21 || matt ❤️ || she/her"
"user_215","Optimist, principial și fair play"
"user_216","⚽️ 2005 | Forward / Wing | FC Stars 04/05 ECNL Regional White | ODP East Region Team 🎓Martha's Vineyard Regional High School ➡️ Cushing Academy '24 | 🇭🇹 🇺🇸"
"user_217","احب دئما تعامل بي حكمة وبتفاهم 🙏🏻✨"
"user_218","stay off my page 😘"
"user_219","artist/activist/feminist"
"user_220","OPS School Social Worker, proud wife, mother and daughter. Love is love. 🏳️‍🌈 She/her"
"user_221","rugby and cycling fan trying to enjoy life."
"user_222","k"
"user_223","Model. Musician. Family. Friends. Single Yet Married To Life.
Thee Rollercoaster Worth Living Through.
:)"
"user_224","동물의숲 주민 대표"
"user_225","💥Trending Ñews•
💥Êntertainment G!st•
💥Funny meme and Videos•
💥Åwareness advocate•
💥#Mufc
💥Link to our Digital Services•👉https://t.co/QL0928EwFF
.... #VM🦄"
"user_226","Short and sweet, full of laughs, and ready to take over this world."
"user_227","jio"
"user_228","No 15 Simonsberg Libetas Road Equestria Estate Post Code 0184 Pretoria East South Africa"
"user_229","You shall know truth and the truth shall set you free"
"user_230","Hello, My name is Md. Ismail Khan, and apart from photography and music. I like designing ."
"user_231","Good learner"
"user_232","I' m son of Almighty God because we are only one."
"user_233","We publish 3 weekly actions (original & syndicated) to combat Trump's agenda. 3notrump is inspired by a bid in the game of bridge. We think it's a winning bid♥️"
"user_234","Freiheit und Leben kann man uns nehmen- die Ehre nicht. Otto Wels, 1933"
"user_235","my hair"
"user_236","Muslim : student : Nigerian : journalist : celebrity : segacious : rational : and easy to control but stubborn at times"
"user_237","Current National Union of Ghana Students President - University of Education, Winneba"
"user_238","I will see you on the dark side of the moon."
"user_239","oh boy"
"user_240","good person"
"user_241","Simple honest down to earth person who want to understand the life, human’s nature, Politics. Love cricket and football"
"user_242","Product @current | ex @tripadvisor @disneyplus @espn @wayfair"
"user_243","L2 Staps Amiens"
"user_244","धर्मो रक्षति रक्षित:

(Rajasthan
medical officer -RUHS)"
"user_245","La voluntad no es más que una verdad disfrazada de ilusión..."
"user_246","Social Worker| Peace Lover| Nationalist| Humanist|"
"user_247","Bernie is bae but Joe for now"
"user_248","SOMOS UN ESPACIO INFORMATIVO, CON LAS NOTICIAS MÁS RELEVANTES DEL ACONTECER DIARIO EN MÉXICO, TABASCO Y EN LA CHONTALPA."
"user_249","“BORN WITH INSIGHT AND A RAISED FIST✊🏻”"
"user_250","Ct"
"user_251","Since 23/08/2010  ..."
"user_252","Progressive, liberal. Follow the teachings of a man that lived 2000 years ago, religiously.  Jesus is his name. Love my wife, life and 4 kids."
"user_253","⚽But can messi shine on a cold night in Anfield, I believe not⚽
🏀Carushow or no show 🏀"
"user_254","nothing good!"
"user_255","I'm just that guy who is loved by all and hated by none... (or at least most of the time)..."
"user_256","Tweet tweet"
"user_257","In the world of politics, PACs, and campaigns: fundraisers find dollars, consultants spend dollars, and Red Curve Solutions helps you make every dollar count."
"user_258","alegre y vivaz"
"user_259","what u wanna know?😅"
"user_260","嘿嘿嘿"
"user_261","♈♒♌"
"user_262","كسخت التويتر"
"user_263","Back to re-electing @ChrisSununu (again) | Was @GovChrisSununu | @SaintAnselm Alum"
"user_264","Photographer | Doosan Bears fan | Director, @CMU_Leadership (he / him / his) #BlackLivesMatter"
"user_265","WIFE MOM GRAM"
"user_266","## All Is Well"
"user_267","RIP @mattino37 2012-2021"
"user_268","TRUST YOURSELF😊🦋"
"user_269","Born under Sagittarius skies … I'll find a new place to be from."
"user_270","Daughter, sister, friend, curator. Lover of life, explorer of the city."
"user_271","O pai ta on"
"user_272","Loving Husband, Father of 5, Local Pastor, Elementary School Principal, Virgin,  Hooker.
#GODFIRST

EAT HOOKERS, DEADLIFT CHILDREN, KISS MEN, WORLD IS A FUCK"
"user_273","God First💫 JXN StateAlumna 🐯 Mom of 1 💗 Paralegal ⚖️ Aspiring Law Student! 📶"
"user_274","Loyola Chicago Alum"
"user_275","""less interested in protest, more in making stuff actually happen""
https://t.co/JHS0H2qnCa"
"user_276","quarentenado"
"user_277","Fun"
"user_278",". 💞💞💞🏡"
"user_279","rose.18.patd.live concerts."
"user_280","(●’◡’●)ﾉ"
"user_281","Sudanese Businessman,CEO Julia Travel co, Bupa Global Agent, Honorary Consul"
"user_282","My attitude"
"user_283","Proud To Bhi A Pakistani 🥰"
"user_284","Research Outreach | NYUAD | BSc Genetics | MSc Business Psychology | Still waiting on that epiphany......"
"user_285","No soy especial"
"user_286","i’m probably at work rn."
"user_287","Profesor de Educacion Primaria. El Salto, Pueblo Nuevo; Dgo.Mex. hermano de Zayda, Jorge y Daniel"
"user_288","Ex-montreuilloise apaisée. Renoue actuellement avec les plaisirs simples:  dormir la fenêtre ouverte, marcher dans des rues propres."
"user_289","I'm not special! Just human 😀😊"
"user_290","Maths PhD dropout, then something with #infosec, now herding containers. • CK{A,S}"
"user_291","Me: Can i get a venti iced latte with uhhhhh... eight shots of espresso pls? 
my friends: jfc just do cocaine already"
"user_292","கோ.இளங்கோவன் கம்மாபுரம்"
"user_293","Never give up never surrender. Anlatacak cok seyim var ama yazmaya vaktim yok.  https://t.co/KycnB9VIO7"
"user_294","We want Justice"
"user_295","Capitol City Crusaders is a sports organization that houses Youth Basketball Programs, Post Graduation Basketball Program, and Semiprofessional team."
"user_296","T𝖊𝖑𝖊𝖈𝖔𝖒𝖒𝖚𝖓𝖎𝖈𝖆𝖙𝖎𝖔𝖓𝖘 & T𝖊𝖈𝖍. E𝖓𝖌𝖎𝖓𝖊𝖊𝖗𝖎𝖓𝖌 S𝖚𝖕𝖊𝖗𝖛𝖎𝖘𝖔r, E𝖓𝖌𝖎𝖓𝖊𝖊𝖗𝖎𝖓𝖌 D𝖎𝖗𝖊𝖈𝖙𝖔𝖗 @qnnovo"
"user_297","Monty"
"user_298","web/video editor"
"user_299","Je suis unique en mon genre.
Je suis le seul Jose DECADY pour toute une planète."
"user_300","It's them rose-tinted cheeks, it's them dirt-colored eyes. I'd give up my bakery to have a piece of your pie...                              🖤 @marcelacuba_ 🖤"
"user_301","Recent PhD Grad. Evolutionary genomics | Bioinformatics."
"user_302","Queen of the kitchen.  Gourmet guru with a decorative flair! Happily married for 38 years. Expert in pencraft. Founder of EYE Design Florida."
"user_303","Dad, husband, criminal defense attorney, lion tamer, pool hustler, powder skier, cold water surfer, backgammon champ, power hitter with a dripping wet forehand."
"user_304","Systems Engineer with 15+ years of experience on telecom. Seeker, photographer, Linux geek and Open Source advocate."
"user_305","I like women"
"user_306","She/Her, Arizona Liberal 🇺🇸"
"user_307","3rd Grade Math/Science Teacher at Dunn Elementary 🧸❤️"
"user_308","teacher and political analyst"
"user_309","Spokesperson for #WaitaNaSuluhu CCU gubernatorial duo for Machakos County 2022, 
columist and political commentator"
"user_310","Prophet Jeremiah Omoto is the founder and head prophet of Christ Mercyland Deliverance Ministry Warri Delta Nigria, Can't out all kinds of sicknes and deseases"
"user_311","Be the reason someone believes in the goodness of people,. Never forget the world is yours,Terms and conditions may apply"
"user_312","No se vive celebrando victorias, sino superando derrotas. JLB"
"user_313","Hope Smiles from the threshold of the year to come, Whispering ‘it will be happier’…” Welcome new year ✨✨✨✨✨"
"user_314","Mon epic RangersAbbas686 Mon twitch : RangersAbbas686"
"user_315","🕊️🤍"
"user_316","A person. She/her. Tired."
"user_317","I do art :p"
"user_318","sc: alexis5092"
"user_319","Living life"
"user_320","A clothing line that oozes the customer with confidence and attitude"
"user_321","@esavieja on only fans"
"user_322","CARTEL II OUT NOWWWW"
"user_323","Baron Ansarian 🇬🇧🙏🎖️🇮🇷                 

لیسانس حسابداری زادگاه شهر آمل🇮🇷🇷🇺🇬🇧
 دانشگاه سبزhttps://t.co/DWEfFuqCMm"
"user_324","💃💃💃💃💃"
"user_325","Last night I lay in bed looking up at the stars in the sky and I thought to myself, where the heck is the ceiling."
"user_326","I do not live in dream world and have a lot of common sense"
"user_327","News"
"user_328","Christian, husband, father, son, brother, friend, colleague. Lover of life, golf, live music, football, good coffee, good beer, good wine and good times."
"user_329","unhealthily obsessed with F1 and mac miller"
"user_330","اللهُمَّ سَنداً لا يَمَلُّ ولا يمِيلُ ولا يُهملُ ولا يغيبُ ولا يخونُ ولا يذهبُ ولا يكلُّ حتى الممات💙💚🤍"
"user_331","Anointing of God."
"user_332","I am single man  not marred love walks love work love friends"
"user_333","#Nurse                                             #NailTech"
"user_334","On youtube @Itzlopezplaz"
"user_335","🤐🐓"
"user_336","Software Engineer at Aricent Group"
"user_337","non political social media addict in recovery."
"user_338","ueebjwhd"
"user_339","Director of Marketing & Public Relations"
"user_340","My pen is arrogant congenitally ' it does not deal with literature only with the kings of letter."
"user_341","⟠ DeFi super-user / educator 💫 Partner at @4RCapital 🏗️ Advisor to teams such as @Zapper_fi, @epnsproject, @defiantnews, @real_alethea. No paid tweets."
"user_342","Tarixin bilmeyen onu yaşamaqa mecburdu"
"user_343","Madre, loca, bipolar, pero bien chingona...."
"user_344","Journalist @rpbreakingnews  || Interested in International Affairs|| Alumni @mcu_bhopal, Study as gjust hisar
my blog
https://t.co/UZCp3tUQCo"
"user_345","nim,o,igfgbhnjmkl,u\ibvcl"
"user_346","💯💔❄️FreeMinds Forever Numb❄️💔💯             💯❤️❄️💯7-1-17🌟❄️❤️💯"
"user_347","🇨🇷🏖🚣‍♂️🛫🌎"
"user_348","Grupo TSI / Eurofins Latam Partner -Moving Forward UBUNTU.., LATAM Regional Work. https://t.co/BrfQtxobA5"
"user_349","Last acc hacked #NSFW"
"user_350","Live a life you ❤️ and not one that just looks good 😊"
"user_351","am gentle and understanding am just looking for serious relationship here"
"user_352","I'm not who they Say I am🙏"
"user_353","‏‏’اگر‘ ، ’ مگر‘  اور  ’کاش‘  میں  ہوں۔۔!! 💯
میں خود بھی اپنی تلاش میں ہوں۔۔!! 🔥"
"user_354","INVESTORS
CDP Worldwide

IMCF"
"user_355","I'm just trying to keep up with the rest of my generation."
"user_356","життя на закарпаттв"
"user_357","Real estate guru, I code and Network 🤩"
"user_358","only alive to see luffy become the pirate king"
"user_359","DIPLOMAT 🇰🇪 | The people who are crazy enough to think they can change the world, are the ones that do."
"user_360","Enjoy the life"
"user_361","The leading professional and social organization of Albanian-American law students, lawyers, and judges."
"user_362","Geek. Mom. Tutor. Miscellaneous. Loves #WordPress & (human) languages.   Lives with #ptsd #depression and #anxiety.  #CisWithTheT. Married to @riaancornelius."
"user_363","Yorkie Mama, Kinder teacher, daughter of the King  💙"
"user_364","♈️"
"user_365","@RossHarrisMusic 🤍"
"user_366","Coin will bless me"
"user_367","student forever..."
"user_368","IN A WORLD OF WORRIERS, BE A WORRIOR
    Your life does not get better by chance, it gets better by a chance"
"user_369","🦎"
"user_370","😎🏃🚬"
"user_371","Pole vaulter // Biologist"
"user_372","Me gusta mucho la música y el deporte 😎"
"user_373","game"
"user_374","PSP, Inc is a connector organization, defining the IT needs of California State Government Agencies, then finding and connecting the solutions."
"user_375","what up, ved ik hvorfor jeg lavede en profil"
"user_376","🌊💫✌🏻"
"user_377","I am a Christian💕"
"user_378","I love one tree hill and revenge"
"user_379","I'm not good at twitter but I'm trying"
"user_380","le seul endroit où le travail vient avant le succès...c'est dans le dictionnaire."
"user_381","Father, Husband, Electrician, Hockey Fan #GoJetsGo"
"user_382","Language and linguistic"
"user_383","(she/her)"
"user_384","✨🦦"
"user_385","Dad, Husband, and Dedicated Coach! I’m an advocate for inspiring others and helping people achieve their goals. Coaching Youth Sports is my passion!"
"user_386","Stocks, Pediatrician, Mom"
"user_387","Gad is always the great"
"user_388","Civil and Criminal Lawyer. Social Worker."
"user_389","Am an enquisitive person and always working for the best ,my other names are Rokire Goshen as my business names ,I love making friends and being informed"
"user_390","love+faith=grace redemption"
"user_391","in the quest of inner peace."
"user_392","Not SEBI registered. Views are personal and for educational purpose only. Further due diligence recommended before taking any action on posts here."
"user_393","CTO & CO-Founder @ Recoverlution, Advisor in tech-lead/SaaS/Start-up."
"user_394","Moep"
"user_395","Based in Indianapolis Indiana let us take your home into the future with smarthome intergration and many other services"
"user_396","||✨sapphic thembo✨|| WU ‘23 Vocal Performance ||🌹 ΣΑΙ 🌹||"
"user_397","Custom invitations"
"user_398","Great Merchants with Great Products and Great Services"
"user_399","jesus follower. husband. father. kingdom seeker."
"user_400","love Puerto Rico don't deport"
"user_401","Rare Plant Collector"
"user_402","B. K."
"user_403","He/him🇯🇲🏳️‍🌈"
"user_404","just play"
"user_405","Dad, Husband, Son, Brother, Friend"
"user_406","BLESSED"
"user_407","follow with caution."
"user_408","I always  happy"
"user_409","ugh"
"user_410","Brother, Leader, Gamer, Friend."
"user_411","Truth seeker, family first, political junkie."
"user_412","Hi"
"user_413","Follower of Christ ll Jeremiah 29:11 ll Rowlett High School ll C.O. 2023 II National Honors Society II randater000@gmail.com"
"user_414","Snap saleh241"
"user_415","SLB/PSG/Raptors
Gauchiste  -
Luta contra o racismo- lutter contre le Racisme-
 كفاح ضد العنصرية"
"user_416","Well. That was different."
"user_417","Single Lady"
"user_418","Me...  Quiet Loud Lovely"
"user_419","Not in it for the followers. Became more active when I saw it was great therapy to tweet cowardly members of Congress."
"user_420","My hard work"
"user_421","Love my mummy"
"user_422","Jay jawan jay bhagwan"
"user_423","Family man"
"user_424","posting sexy pictures of hot men and memes. 🔞 warning: adult content"
"user_425","quantity surveyor"
"user_426","Christian, wife, mother, 4th grade educator, aspiring administrator, and lifelong  learner!"
"user_427","Dad / Nerd / Emergency Services"
"user_428","Étudiant en business administration. diplômé en commercial administratif. Penseur et entrepreneur débutant,Penseur..."
"user_429","installation windows, carrelage"
"user_430","Yash tomar"
"user_431","Como cualquier mortal también cometo errores."
"user_432","Try to play me like a pussy nigga and it won’t work🙅🏽‍♂️| AR✈️ DTX✈️ GA|"
"user_433","Niets maakt mij bijzonder"
"user_434","Photographer"
"user_435","Università degli Studi di Padova - Aerospace engineering"
"user_436","Newbie.  TBH I think I’m better at observing people."
"user_437","he/him 21 germany 🇩🇪 🌱"
"user_438","physicist"
"user_439","🇨🇴"
"user_440","Just a cool guy"
"user_441","The less i care the happier i am!!!"
"user_442","ATA-Certified #Translator (#English into #Italian) and #Spanish National Board Certified Medical Interpreter #ATAcertification #ATAcertified #EnglishintoItalian"
"user_443","kabour😈"
"user_444","Kashmere. 🏳️‍🌈. Future U.S. Representative (D) KS-4."
"user_445","I am me, and I am on Twitter?! how did that happen?!!"
